learner_id,age,level,learning_style,resource_id,resource_type,topic,difficulty,engagement_duration,completion,target
136,25,Beginner,Kinesthetic,R042,Interactive,Vocabulary,5,361,1,Medium
63,29,Intermediate,Visual,R032,Quiz,Pronunciation,5,335,0,Low
139,21,Advanced,Auditory,R033,Interactive,Grammar,5,155,1,Medium
81,30,Beginner,Kinesthetic,R003,Video,Pronunciation,1,353,0,Low
136,32,Advanced,Kinesthetic,R030,Audio,Vocabulary,4,419,0,Low
163,28,Beginner,Kinesthetic,R050,Video,Grammar,2,347,1,High
163,27,Beginner,Auditory,R012,Video,Grammar,5,213,1,Medium
33,20,Intermediate,Kinesthetic,R029,Quiz,Grammar,2,482,0,Low
123,31,Beginner,Auditory,R003,Video,Culture,2,109,0,Low
5,33,Beginner,Kinesthetic,R026,Audio,Pronunciation,5,266,0,Low
41,27,Intermediate,Auditory,R030,Interactive,Culture,4,272,1,High
28,27,Advanced,Kinesthetic,R009,Audio,Grammar,2,125,1,Medium
135,29,Beginner,Visual,R026,Quiz,Pronunciation,3,291,1,Medium
72,26,Intermediate,Visual,R002,Audio,Pronunciation,2,379,1,Medium
12,18,Beginner,Visual,R003,Article,Vocabulary,5,196,0,Low
162,22,Intermediate,Visual,R046,Interactive,Culture,1,124,1,High
33,25,Advanced,Kinesthetic,R004,Article,Culture,2,573,1,Medium
48,28,Advanced,Visual,R025,Article,Vocabulary,4,191,1,High
151,29,Intermediate,Auditory,R013,Quiz,Culture,3,393,1,Medium
62,18,Intermediate,Visual,R039,Video,Grammar,3,91,1,High
37,28,Intermediate,Visual,R044,Article,Grammar,1,557,0,Low
99,22,Advanced,Visual,R035,Audio,Culture,1,302,1,Medium
172,32,Beginner,Kinesthetic,R023,Video,Vocabulary,2,251,0,Low
104,22,Advanced,Visual,R009,Audio,Pronunciation,5,201,1,Medium
35,29,Intermediate,Auditory,R002,Audio,Culture,4,250,1,Medium
193,22,Intermediate,Visual,R041,Video,Pronunciation,3,208,1,High
101,34,Advanced,Visual,R044,Video,Vocabulary,1,475,1,High
175,34,Intermediate,Visual,R031,Audio,Pronunciation,4,579,0,Low
131,29,Advanced,Auditory,R044,Quiz,Vocabulary,5,75,0,Low
1,32,Intermediate,Visual,R047,Interactive,Vocabulary,3,165,1,Medium
5,32,Beginner,Auditory,R002,Interactive,Grammar,3,342,0,Low
142,23,Beginner,Auditory,R032,Quiz,Grammar,5,163,0,Low
103,29,Intermediate,Visual,R018,Video,Vocabulary,3,420,1,Medium
27,35,Advanced,Auditory,R013,Audio,Culture,5,94,0,Low
137,31,Beginner,Kinesthetic,R046,Interactive,Grammar,3,172,0,Low
15,19,Advanced,Visual,R005,Audio,Vocabulary,2,367,1,Medium
90,26,Intermediate,Visual,R042,Quiz,Pronunciation,5,112,1,Medium
42,22,Advanced,Auditory,R044,Audio,Pronunciation,4,140,0,Low
124,18,Beginner,Auditory,R010,Quiz,Culture,2,428,1,High
179,20,Advanced,Visual,R043,Video,Pronunciation,4,301,1,High
63,23,Advanced,Kinesthetic,R025,Quiz,Pronunciation,3,90,1,Medium
96,22,Intermediate,Auditory,R034,Quiz,Vocabulary,4,420,0,Low
52,22,Intermediate,Auditory,R037,Interactive,Pronunciation,2,292,1,Medium
96,18,Intermediate,Kinesthetic,R030,Audio,Pronunciation,5,93,1,High
132,34,Beginner,Kinesthetic,R007,Interactive,Pronunciation,1,302,0,Low
151,31,Beginner,Visual,R006,Article,Pronunciation,4,118,0,Low
143,29,Intermediate,Kinesthetic,R003,Quiz,Vocabulary,1,588,0,Low
171,27,Intermediate,Visual,R013,Article,Pronunciation,4,137,0,Low
29,35,Beginner,Kinesthetic,R003,Interactive,Culture,4,361,0,Low
36,28,Beginner,Auditory,R026,Audio,Grammar,5,171,1,Medium
13,19,Beginner,Visual,R024,Interactive,Culture,3,472,0,Low
160,35,Beginner,Visual,R006,Audio,Grammar,2,376,1,Medium
71,24,Intermediate,Visual,R043,Audio,Culture,2,204,0,Low
187,32,Beginner,Kinesthetic,R049,Video,Grammar,2,77,1,Medium
86,28,Intermediate,Auditory,R042,Quiz,Grammar,3,410,1,High
28,35,Advanced,Visual,R012,Interactive,Grammar,1,214,0,Low
66,29,Advanced,Visual,R049,Audio,Grammar,2,565,0,Low
170,23,Beginner,Visual,R036,Interactive,Vocabulary,1,419,0,Low
45,30,Advanced,Visual,R002,Interactive,Culture,3,391,0,Low
62,33,Advanced,Auditory,R011,Audio,Grammar,3,587,0,Low
185,35,Advanced,Kinesthetic,R039,Article,Culture,5,71,0,Low
134,27,Beginner,Auditory,R034,Quiz,Pronunciation,2,134,1,High
28,25,Beginner,Visual,R026,Quiz,Grammar,5,271,1,Medium
28,35,Advanced,Auditory,R018,Video,Culture,2,342,1,Medium
108,18,Intermediate,Visual,R021,Video,Vocabulary,3,254,1,Medium
44,25,Advanced,Kinesthetic,R036,Video,Culture,3,89,1,Medium
84,23,Beginner,Kinesthetic,R040,Quiz,Grammar,4,68,0,Low
30,22,Beginner,Kinesthetic,R046,Article,Pronunciation,4,368,0,Low
190,32,Beginner,Visual,R044,Quiz,Culture,3,504,1,High
75,32,Advanced,Auditory,R022,Quiz,Pronunciation,3,369,1,High
128,19,Intermediate,Kinesthetic,R030,Quiz,Vocabulary,1,485,0,Low
92,18,Beginner,Visual,R050,Quiz,Culture,1,150,0,Low
190,28,Beginner,Visual,R043,Article,Culture,5,515,0,Low
129,27,Advanced,Auditory,R030,Video,Vocabulary,4,503,0,Low
121,35,Intermediate,Kinesthetic,R008,Interactive,Vocabulary,4,138,1,Medium
27,35,Advanced,Visual,R034,Video,Vocabulary,3,534,1,Medium
190,34,Beginner,Auditory,R047,Video,Grammar,3,162,0,Low
121,25,Intermediate,Kinesthetic,R009,Interactive,Grammar,5,515,0,Low
116,32,Intermediate,Auditory,R020,Quiz,Culture,4,373,1,Medium
3,25,Beginner,Auditory,R040,Article,Culture,1,306,1,Medium
103,34,Intermediate,Visual,R025,Article,Culture,2,293,1,Medium
198,29,Intermediate,Visual,R019,Video,Pronunciation,5,294,0,Low
200,25,Advanced,Visual,R005,Interactive,Vocabulary,2,446,1,Medium
155,31,Beginner,Auditory,R011,Audio,Culture,1,97,0,Low
137,21,Beginner,Visual,R015,Quiz,Vocabulary,1,220,0,Low
62,18,Beginner,Auditory,R008,Video,Grammar,2,521,0,Low
165,18,Beginner,Auditory,R019,Article,Vocabulary,5,508,1,Medium
51,33,Beginner,Visual,R023,Interactive,Pronunciation,2,176,1,High
172,31,Intermediate,Kinesthetic,R027,Interactive,Pronunciation,5,300,0,Low
152,33,Advanced,Kinesthetic,R040,Video,Vocabulary,5,85,1,High
59,22,Beginner,Kinesthetic,R032,Audio,Pronunciation,3,357,0,Low
118,26,Advanced,Auditory,R026,Article,Pronunciation,4,213,1,High
160,19,Advanced,Auditory,R027,Video,Grammar,4,527,0,Low
96,35,Intermediate,Auditory,R019,Audio,Culture,1,108,0,Low
180,23,Beginner,Visual,R050,Interactive,Pronunciation,3,105,1,High
113,26,Intermediate,Auditory,R042,Quiz,Culture,4,344,1,High
62,18,Beginner,Visual,R029,Article,Vocabulary,5,141,0,Low
186,26,Intermediate,Visual,R039,Article,Vocabulary,5,103,1,High
52,33,Advanced,Kinesthetic,R041,Audio,Pronunciation,2,332,0,Low
12,30,Beginner,Kinesthetic,R033,Video,Vocabulary,2,453,0,Low
39,26,Advanced,Kinesthetic,R019,Interactive,Grammar,5,117,0,Low
130,30,Advanced,Visual,R037,Audio,Pronunciation,5,60,0,Low
131,26,Intermediate,Visual,R019,Quiz,Pronunciation,2,275,0,Low
113,28,Beginner,Visual,R033,Quiz,Pronunciation,4,376,0,Low
101,21,Advanced,Auditory,R047,Quiz,Vocabulary,1,287,0,Low
113,19,Intermediate,Visual,R016,Audio,Vocabulary,2,532,0,Low
184,23,Beginner,Kinesthetic,R023,Interactive,Pronunciation,4,543,1,Medium
81,31,Beginner,Kinesthetic,R007,Article,Culture,4,346,1,High
187,21,Advanced,Visual,R026,Video,Vocabulary,4,570,0,Low
113,23,Beginner,Visual,R032,Article,Vocabulary,3,517,0,Low
2,23,Advanced,Kinesthetic,R012,Interactive,Pronunciation,3,154,0,Low
130,19,Beginner,Visual,R008,Article,Culture,4,552,1,High
54,35,Intermediate,Kinesthetic,R005,Audio,Pronunciation,5,209,0,Low
87,30,Advanced,Auditory,R042,Quiz,Vocabulary,3,82,0,Low
129,26,Advanced,Kinesthetic,R028,Interactive,Pronunciation,2,274,0,Low
147,30,Beginner,Auditory,R005,Interactive,Pronunciation,3,458,1,Medium
126,28,Beginner,Visual,R049,Article,Pronunciation,5,469,1,Medium
130,18,Advanced,Visual,R026,Audio,Culture,1,190,1,High
53,24,Beginner,Auditory,R005,Article,Pronunciation,3,207,0,Low
172,32,Intermediate,Visual,R022,Article,Vocabulary,4,440,0,Low
160,18,Beginner,Auditory,R015,Interactive,Pronunciation,4,168,1,High
198,29,Intermediate,Visual,R013,Article,Culture,4,180,0,Low
160,24,Intermediate,Kinesthetic,R028,Quiz,Grammar,1,354,1,High
68,32,Intermediate,Visual,R033,Article,Culture,5,179,1,Medium
183,18,Intermediate,Kinesthetic,R043,Quiz,Pronunciation,2,515,0,Low
184,34,Intermediate,Kinesthetic,R023,Interactive,Grammar,5,589,0,Low
123,34,Beginner,Auditory,R033,Audio,Pronunciation,1,228,0,Low
145,20,Intermediate,Visual,R043,Quiz,Culture,4,202,0,Low
38,29,Beginner,Auditory,R018,Audio,Grammar,5,96,1,High
24,23,Intermediate,Visual,R050,Audio,Grammar,2,320,1,High
69,28,Advanced,Kinesthetic,R030,Quiz,Pronunciation,4,290,1,High
116,20,Intermediate,Kinesthetic,R026,Interactive,Pronunciation,2,313,1,Medium
98,25,Advanced,Visual,R016,Video,Culture,3,388,1,Medium
198,31,Intermediate,Visual,R013,Audio,Pronunciation,2,356,1,Medium
139,31,Intermediate,Auditory,R039,Audio,Grammar,4,69,0,Low
144,27,Intermediate,Visual,R033,Interactive,Vocabulary,3,505,1,High
97,19,Advanced,Visual,R026,Interactive,Vocabulary,4,289,0,Low
124,31,Advanced,Visual,R048,Article,Culture,4,595,0,Low
187,26,Intermediate,Auditory,R001,Interactive,Pronunciation,3,137,1,Medium
70,20,Beginner,Visual,R049,Audio,Culture,2,484,1,Medium
93,25,Intermediate,Kinesthetic,R038,Quiz,Vocabulary,1,252,0,Low
3,33,Advanced,Auditory,R002,Video,Vocabulary,1,460,0,Low
148,19,Intermediate,Auditory,R049,Article,Pronunciation,1,168,1,Medium
187,23,Advanced,Kinesthetic,R006,Quiz,Grammar,1,322,1,Medium
164,29,Advanced,Kinesthetic,R046,Video,Pronunciation,5,388,0,Low
147,22,Advanced,Kinesthetic,R050,Video,Vocabulary,1,422,1,Medium
90,19,Intermediate,Visual,R038,Video,Grammar,3,437,1,Medium
195,33,Advanced,Kinesthetic,R042,Quiz,Culture,1,400,1,High
147,22,Advanced,Visual,R024,Article,Vocabulary,4,318,1,Medium
148,32,Intermediate,Auditory,R018,Article,Culture,1,394,1,Medium
96,29,Advanced,Auditory,R027,Video,Grammar,2,144,0,Low
199,21,Intermediate,Kinesthetic,R041,Quiz,Culture,3,581,1,Medium
52,32,Advanced,Visual,R008,Video,Vocabulary,3,367,1,High
161,28,Beginner,Kinesthetic,R028,Interactive,Pronunciation,5,321,0,Low
168,33,Beginner,Kinesthetic,R010,Article,Culture,4,511,0,Low
128,23,Advanced,Visual,R017,Audio,Vocabulary,3,310,1,Medium
39,31,Beginner,Kinesthetic,R029,Video,Vocabulary,2,383,1,Medium
82,35,Intermediate,Auditory,R006,Interactive,Grammar,1,288,0,Low
104,29,Beginner,Kinesthetic,R014,Article,Vocabulary,3,356,1,Medium
129,28,Advanced,Visual,R022,Quiz,Pronunciation,2,296,1,High
11,30,Advanced,Visual,R006,Article,Pronunciation,1,276,1,Medium
185,28,Intermediate,Auditory,R026,Quiz,Culture,5,305,0,Low
178,33,Advanced,Visual,R039,Quiz,Culture,3,507,1,High
151,32,Intermediate,Visual,R012,Video,Culture,3,378,1,Medium
159,32,Beginner,Auditory,R035,Video,Culture,2,491,0,Low
42,21,Beginner,Kinesthetic,R014,Article,Pronunciation,4,463,1,Medium
99,28,Intermediate,Auditory,R022,Interactive,Grammar,5,96,1,Medium
7,32,Intermediate,Kinesthetic,R023,Article,Culture,4,401,1,High
144,21,Advanced,Auditory,R048,Audio,Grammar,3,448,1,High
90,30,Beginner,Kinesthetic,R007,Quiz,Vocabulary,4,93,0,Low
112,19,Intermediate,Auditory,R040,Quiz,Vocabulary,1,98,0,Low
60,31,Beginner,Kinesthetic,R050,Video,Culture,5,268,1,High
113,21,Intermediate,Auditory,R025,Interactive,Vocabulary,4,211,1,Medium
2,33,Beginner,Kinesthetic,R013,Video,Grammar,1,424,1,Medium
129,31,Advanced,Auditory,R021,Audio,Grammar,2,258,1,Medium
48,32,Beginner,Visual,R041,Article,Vocabulary,4,138,0,Low
140,20,Beginner,Kinesthetic,R010,Article,Culture,5,536,0,Low
197,25,Beginner,Auditory,R009,Interactive,Grammar,1,493,0,Low
37,33,Beginner,Kinesthetic,R015,Video,Grammar,4,91,1,Medium
160,27,Beginner,Kinesthetic,R002,Video,Pronunciation,2,146,1,Medium
9,21,Advanced,Auditory,R025,Audio,Culture,4,452,1,Medium
99,35,Intermediate,Kinesthetic,R013,Article,Pronunciation,1,303,0,Low
147,19,Beginner,Auditory,R034,Video,Vocabulary,4,291,0,Low
48,34,Advanced,Visual,R034,Interactive,Vocabulary,5,251,0,Low
131,30,Beginner,Kinesthetic,R035,Article,Pronunciation,3,599,0,Low
148,21,Beginner,Visual,R038,Audio,Culture,1,329,0,Low
152,28,Intermediate,Kinesthetic,R003,Interactive,Grammar,1,136,1,High
54,24,Beginner,Kinesthetic,R042,Quiz,Vocabulary,1,226,1,High
120,29,Advanced,Kinesthetic,R006,Audio,Culture,1,343,1,High
161,27,Advanced,Auditory,R048,Interactive,Culture,4,148,0,Low
152,24,Intermediate,Visual,R049,Video,Vocabulary,5,215,1,Medium
116,30,Beginner,Kinesthetic,R019,Quiz,Vocabulary,2,309,1,High
75,24,Advanced,Auditory,R003,Audio,Culture,5,154,0,Low
113,34,Beginner,Kinesthetic,R018,Video,Grammar,1,76,0,Low
200,27,Beginner,Auditory,R039,Quiz,Pronunciation,4,176,0,Low
164,27,Beginner,Kinesthetic,R009,Article,Vocabulary,4,392,1,High
166,21,Intermediate,Visual,R012,Video,Pronunciation,1,581,0,Low
104,21,Beginner,Visual,R005,Interactive,Culture,4,139,1,Medium
84,24,Advanced,Kinesthetic,R003,Audio,Pronunciation,1,491,1,Medium
112,18,Beginner,Auditory,R011,Quiz,Grammar,5,262,0,Low
99,29,Advanced,Kinesthetic,R030,Video,Culture,3,175,1,Medium
153,30,Beginner,Auditory,R004,Article,Grammar,4,279,0,Low
93,27,Advanced,Kinesthetic,R005,Audio,Culture,1,312,0,Low
146,32,Advanced,Auditory,R001,Audio,Grammar,1,228,1,Medium
128,30,Beginner,Visual,R027,Video,Culture,4,375,1,Medium
110,26,Beginner,Kinesthetic,R028,Article,Grammar,2,431,1,High
82,26,Advanced,Visual,R029,Quiz,Culture,1,215,0,Low
194,32,Intermediate,Visual,R018,Video,Grammar,4,72,1,Medium
54,27,Beginner,Kinesthetic,R012,Quiz,Culture,1,567,0,Low
163,27,Intermediate,Kinesthetic,R013,Audio,Grammar,2,524,0,Low
189,25,Beginner,Auditory,R041,Quiz,Vocabulary,3,279,1,Medium
169,33,Beginner,Auditory,R002,Article,Pronunciation,2,74,1,Medium
161,34,Beginner,Visual,R037,Interactive,Culture,5,176,1,Medium
68,22,Beginner,Auditory,R045,Article,Grammar,4,390,1,Medium
33,21,Intermediate,Auditory,R016,Quiz,Vocabulary,2,115,0,Low
142,35,Beginner,Kinesthetic,R048,Video,Culture,3,410,1,High
21,21,Advanced,Auditory,R024,Audio,Culture,1,191,0,Low
48,24,Advanced,Visual,R035,Interactive,Culture,4,285,1,Medium
148,27,Intermediate,Auditory,R022,Video,Pronunciation,2,367,1,Medium
128,35,Beginner,Visual,R036,Video,Grammar,3,534,1,Medium
136,21,Advanced,Kinesthetic,R011,Article,Grammar,2,281,0,Low
135,27,Intermediate,Visual,R046,Quiz,Culture,5,232,1,High
195,18,Beginner,Auditory,R029,Article,Culture,4,399,0,Low
145,35,Advanced,Kinesthetic,R035,Quiz,Culture,1,565,1,Medium
128,22,Advanced,Auditory,R048,Article,Vocabulary,3,216,1,High
33,32,Intermediate,Kinesthetic,R015,Video,Culture,2,210,0,Low
176,34,Beginner,Kinesthetic,R031,Audio,Pronunciation,4,237,0,Low
187,20,Beginner,Auditory,R042,Quiz,Grammar,2,592,1,Medium
115,29,Advanced,Auditory,R041,Interactive,Pronunciation,4,171,1,Medium
119,19,Advanced,Kinesthetic,R043,Interactive,Culture,5,197,0,Low
22,18,Advanced,Kinesthetic,R016,Video,Vocabulary,2,292,1,Medium
158,34,Beginner,Auditory,R010,Article,Culture,5,391,0,Low
38,33,Intermediate,Visual,R049,Article,Culture,3,366,1,Medium
109,22,Intermediate,Auditory,R032,Video,Culture,5,220,0,Low
51,32,Beginner,Kinesthetic,R002,Interactive,Culture,4,461,0,Low
182,20,Intermediate,Auditory,R024,Interactive,Culture,3,337,0,Low
8,24,Advanced,Visual,R023,Article,Grammar,2,379,0,Low
27,28,Intermediate,Auditory,R002,Quiz,Pronunciation,2,592,0,Low
27,27,Intermediate,Kinesthetic,R038,Audio,Vocabulary,4,556,1,Medium
21,26,Intermediate,Auditory,R031,Quiz,Culture,1,422,1,Medium
30,31,Advanced,Kinesthetic,R040,Interactive,Vocabulary,1,431,1,Medium
97,30,Beginner,Kinesthetic,R026,Quiz,Grammar,2,95,1,High
28,19,Advanced,Auditory,R029,Audio,Pronunciation,4,362,1,Medium
111,20,Beginner,Kinesthetic,R003,Quiz,Culture,1,497,1,High
192,24,Beginner,Kinesthetic,R014,Quiz,Grammar,5,91,1,Medium
197,35,Beginner,Visual,R025,Quiz,Grammar,2,245,1,Medium
61,20,Intermediate,Visual,R048,Quiz,Pronunciation,5,233,1,Medium
48,27,Intermediate,Visual,R001,Video,Culture,4,309,0,Low
147,24,Beginner,Visual,R003,Interactive,Pronunciation,5,338,0,Low
4,26,Beginner,Kinesthetic,R026,Audio,Pronunciation,1,61,1,Medium
35,34,Intermediate,Auditory,R018,Interactive,Vocabulary,1,253,0,Low
192,28,Advanced,Kinesthetic,R009,Video,Vocabulary,3,225,1,Medium
49,24,Beginner,Kinesthetic,R038,Video,Pronunciation,2,169,0,Low
17,31,Advanced,Kinesthetic,R023,Video,Vocabulary,4,439,0,Low
172,21,Intermediate,Auditory,R021,Video,Grammar,2,344,0,Low
158,23,Beginner,Visual,R001,Quiz,Pronunciation,5,480,1,Medium
46,27,Advanced,Kinesthetic,R021,Interactive,Culture,4,172,1,Medium
117,24,Advanced,Kinesthetic,R027,Article,Culture,4,287,1,High
6,30,Advanced,Visual,R042,Audio,Grammar,1,530,1,Medium
99,31,Intermediate,Kinesthetic,R006,Video,Culture,5,587,0,Low
124,21,Intermediate,Auditory,R044,Interactive,Culture,1,555,1,Medium
37,25,Advanced,Kinesthetic,R036,Video,Pronunciation,1,90,0,Low
24,22,Advanced,Kinesthetic,R028,Video,Grammar,3,221,1,High
93,18,Intermediate,Visual,R045,Video,Pronunciation,1,437,0,Low
46,21,Advanced,Kinesthetic,R017,Video,Grammar,2,505,0,Low
181,20,Advanced,Kinesthetic,R040,Video,Pronunciation,4,486,0,Low
95,26,Intermediate,Auditory,R003,Audio,Pronunciation,1,563,0,Low
99,25,Advanced,Visual,R012,Interactive,Vocabulary,2,586,1,Medium
