state,action,reward,next_state,done
"[-1.70813036  0.49430909  1.          1.         12.          2.
  0.          1.4286633  -1.03874274  0.98412598  2.        ]",12.0,2.4920629880939718,"[-1.70813036e+00  1.45674891e+00  1.00000000e+00  0.00000000e+00
  1.40000000e+01  0.00000000e+00  2.00000000e+00  6.75406885e-03
  1.30519607e+00 -1.01613007e+00  1.00000000e+00]",0
"[-1.70813036e+00  1.45674891e+00  1.00000000e+00  0.00000000e+00
  1.40000000e+01  0.00000000e+00  2.00000000e+00  6.75406885e-03
  1.30519607e+00 -1.01613007e+00  1.00000000e+00]",14.0,0.49193496351272803,"[-1.70813036e+00  1.45674891e+00  0.00000000e+00  2.00000000e+00
  2.10000000e+01  3.00000000e+00  3.00000000e+00  6.75406885e-03
  1.60619367e+00  9.84125976e-01  2.00000000e+00]",0
"[-1.70813036e+00  1.45674891e+00  0.00000000e+00  2.00000000e+00
  2.10000000e+01  3.00000000e+00  3.00000000e+00  6.75406885e-03
  1.60619367e+00  9.84125976e-01  2.00000000e+00]",21.0,2.4920629880939718,"[-1.70813036  0.30182113  2.          1.         12.          2.
  0.          1.4286633  -0.49438537  0.98412598  2.        ]",0
"[-1.70813036  0.30182113  2.          1.         12.          2.
  0.          1.4286633  -0.49438537  0.98412598  2.        ]",12.0,2.4920629880939718,"[-1.70813036 -1.04559462  0.          1.         20.          0.
  0.         -1.41515516  0.7736471   0.98412598  2.        ]",0
"[-1.70813036 -1.04559462  0.          1.         20.          0.
  0.         -1.41515516  0.7736471   0.98412598  2.        ]",20.0,2.4920629880939718,"[-1.70813036 -1.04559462  0.          1.         20.          0.
  0.         -1.41515516  0.7736471   0.98412598  2.        ]",1
"[-1.69090566 -0.27564276  0.          1.         23.          3.
  3.         -1.41515516  0.53028734 -1.01613007  1.        ]",23.0,0.49193496351272803,"[-1.69090566 -0.46813073  0.          2.         15.          2.
  3.          1.4286633   0.53028734  0.98412598  0.        ]",0
"[-1.69090566 -0.46813073  0.          2.         15.          2.
  3.          1.4286633   0.53028734  0.98412598  0.        ]",15.0,0.492062988093972,"[-1.69090566 -1.43057055  0.          2.          1.          2.
  1.          1.4286633  -1.41018659  0.98412598  2.        ]",0
"[-1.69090566 -1.43057055  0.          2.          1.          2.
  1.          1.4286633  -1.41018659  0.98412598  2.        ]",1.0,2.4920629880939718,"[-1.69090566 -0.0831548   2.          2.          8.          0.
  0.         -1.41515516  0.46624529  0.98412598  2.        ]",0
"[-1.69090566 -0.0831548   2.          2.          8.          0.
  0.         -1.41515516  0.46624529  0.98412598  2.        ]",8.0,2.4920629880939718,"[-1.69090566 -0.66061869  0.          1.          8.          0.
  1.          1.4286633  -0.87223342  0.98412598  2.        ]",0
"[-1.69090566 -0.66061869  0.          1.          8.          0.
  1.          1.4286633  -0.87223342  0.98412598  2.        ]",8.0,2.4920629880939718,"[-1.69090566 -0.46813073  1.          2.          3.          4.
  2.          0.00675407 -0.21900458  0.98412598  2.        ]",0
"[-1.69090566 -0.46813073  1.          2.          3.          4.
  2.          0.00675407 -0.21900458  0.98412598  2.        ]",3.0,2.4920629880939718,"[-1.69090566e+00 -6.60618691e-01  0.00000000e+00  1.00000000e+00
  1.10000000e+01  2.00000000e+00  2.00000000e+00  6.75406885e-03
 -1.10278478e+00 -1.01613007e+00  1.00000000e+00]",0
"[-1.69090566e+00 -6.60618691e-01  0.00000000e+00  1.00000000e+00
  1.10000000e+01  2.00000000e+00  2.00000000e+00  6.75406885e-03
 -1.10278478e+00 -1.01613007e+00  1.00000000e+00]",11.0,0.49193496351272803,"[-1.69090566  1.26426095  1.          1.         12.          4.
  1.         -1.41515516  0.6263504   0.98412598  2.        ]",0
"[-1.69090566  1.26426095  1.          1.         12.          4.
  1.         -1.41515516  0.6263504   0.98412598  2.        ]",12.0,2.4920629880939718,"[-1.69090566  1.26426095  1.          1.         12.          4.
  1.         -1.41515516  0.6263504   0.98412598  2.        ]",1
"[-1.67368096 -1.62305851  2.          2.         15.          3.
  1.         -1.41515516 -0.64808627 -1.01613007  1.        ]",15.0,0.49193496351272803,"[-1.67368096 -0.27564276  1.          0.         39.          0.
  0.         -1.41515516 -0.12934572  0.98412598  2.        ]",0
"[-1.67368096 -0.27564276  1.          0.         39.          0.
  0.         -1.41515516 -0.12934572  0.98412598  2.        ]",39.0,2.4920629880939718,"[-1.67368096  0.49430909  1.          0.          3.          4.
  2.          0.71770868 -0.56483161 -1.01613007  1.        ]",0
"[-1.67368096  0.49430909  1.          0.          3.          4.
  2.          0.71770868 -0.56483161 -1.01613007  1.        ]",3.0,0.49193496351272803,"[-1.67368096 -0.66061869  0.          2.          0.          0.
  3.         -0.70420055  1.5037264   0.98412598  2.        ]",0
"[-1.67368096 -0.66061869  0.          2.          0.          0.
  3.         -0.70420055  1.5037264   0.98412598  2.        ]",0.0,2.4920629880939718,"[-1.67368096 -0.85310666  0.          0.         10.          3.
  1.          0.71770868 -1.00672172  0.98412598  2.        ]",0
"[-1.67368096 -0.85310666  0.          0.         10.          3.
  1.          0.71770868 -1.00672172  0.98412598  2.        ]",10.0,2.4920629880939718,"[-1.67368096  0.49430909  1.          2.          2.          4.
  1.         -0.70420055  1.02341107  0.98412598  2.        ]",0
"[-1.67368096  0.49430909  1.          2.          2.          4.
  1.         -0.70420055  1.02341107  0.98412598  2.        ]",2.0,2.4920629880939718,"[-1.67368096  1.26426095  0.          0.          1.          4.
  3.         -1.41515516  0.85690176 -1.01613007  1.        ]",0
"[-1.67368096  1.26426095  0.          0.          1.          4.
  3.         -1.41515516  0.85690176 -1.01613007  1.        ]",1.0,0.49193496351272803,"[-1.67368096 -1.43057055  2.          1.         13.          1.
  3.         -0.70420055  0.81847653  0.98412598  2.        ]",0
"[-1.67368096 -1.43057055  2.          1.         13.          1.
  3.         -0.70420055  0.81847653  0.98412598  2.        ]",13.0,2.4920629880939718,"[-1.67368096 -1.23808258  0.          1.         15.          1.
  0.          0.71770868  0.25490655  0.98412598  0.        ]",0
"[-1.67368096 -1.23808258  0.          1.         15.          1.
  0.          0.71770868  0.25490655  0.98412598  0.        ]",15.0,0.492062988093972,"[-1.67368096  1.07177298  2.          1.         10.          2.
  2.          0.71770868 -0.6929157  -1.01613007  1.        ]",0
"[-1.67368096  1.07177298  2.          1.         10.          2.
  2.          0.71770868 -0.6929157  -1.01613007  1.        ]",10.0,0.49193496351272803,"[-1.67368096  1.07177298  2.          1.         10.          2.
  2.          0.71770868 -0.6929157  -1.01613007  1.        ]",1
"[-1.65645626e+00  1.64923687e+00  2.00000000e+00  2.00000000e+00
  4.70000000e+01  0.00000000e+00  0.00000000e+00  6.75406885e-03
 -1.27569830e+00 -1.01613007e+00  1.00000000e+00]",47.0,0.49193496351272803,"[-1.65645626 -0.0831548   1.          1.         25.          1.
  2.         -1.41515516 -1.69837579  0.98412598  2.        ]",0
"[-1.65645626 -0.0831548   1.          1.         25.          1.
  2.         -1.41515516 -1.69837579  0.98412598  2.        ]",25.0,2.4920629880939718,"[-1.65645626 -0.0831548   0.          0.          8.          1.
  0.         -0.70420055 -1.03874274 -1.01613007  1.        ]",0
"[-1.65645626 -0.0831548   0.          0.          8.          1.
  0.         -0.70420055 -1.03874274 -1.01613007  1.        ]",8.0,0.49193496351272803,"[-1.65645626 -0.0831548   1.          2.         43.          0.
  0.         -0.70420055  1.41406754 -1.01613007  1.        ]",0
"[-1.65645626 -0.0831548   1.          2.         43.          0.
  0.         -0.70420055  1.41406754 -1.01613007  1.        ]",43.0,0.49193496351272803,"[-1.65645626 -1.43057055  0.          1.         23.          3.
  0.         -1.41515516 -1.45501602  0.98412598  0.        ]",0
"[-1.65645626 -1.43057055  0.          1.         23.          3.
  0.         -1.41515516 -1.45501602  0.98412598  0.        ]",23.0,0.492062988093972,"[-1.65645626e+00  6.86797054e-01  1.00000000e+00  0.00000000e+00
  4.30000000e+01  1.00000000e+00  2.00000000e+00  6.75406885e-03
 -6.99319906e-01  9.84125976e-01  2.00000000e+00]",0
"[-1.65645626e+00  6.86797054e-01  1.00000000e+00  0.00000000e+00
  4.30000000e+01  1.00000000e+00  2.00000000e+00  6.75406885e-03
 -6.99319906e-01  9.84125976e-01  2.00000000e+00]",43.0,2.4920629880939718,"[-1.65645626  0.30182113  0.          0.         14.          1.
  3.         -1.41515516 -0.96189229  0.98412598  2.        ]",0
"[-1.65645626  0.30182113  0.          0.         14.          1.
  3.         -1.41515516 -0.96189229  0.98412598  2.        ]",14.0,2.4920629880939718,"[-1.65645626 -0.27564276  2.          1.         36.          0.
  0.          0.71770868 -0.84661661 -1.01613007  1.        ]",0
"[-1.65645626 -0.27564276  2.          1.         36.          0.
  0.          0.71770868 -0.84661661 -1.01613007  1.        ]",36.0,0.49193496351272803,"[-1.65645626e+00 -6.60618691e-01  2.00000000e+00  2.00000000e+00
  2.70000000e+01  2.00000000e+00  1.00000000e+00  6.75406885e-03
  1.06824050e+00  9.84125976e-01  2.00000000e+00]",0
"[-1.65645626e+00 -6.60618691e-01  2.00000000e+00  2.00000000e+00
  2.70000000e+01  2.00000000e+00  1.00000000e+00  6.75406885e-03
  1.06824050e+00  9.84125976e-01  2.00000000e+00]",27.0,2.4920629880939718,"[-1.65645626 -0.46813073  1.          1.          5.          2.
  3.          1.4286633   1.12587834 -1.01613007  1.        ]",0
"[-1.65645626 -0.46813073  1.          1.          5.          2.
  3.          1.4286633   1.12587834 -1.01613007  1.        ]",5.0,0.49193496351272803,"[-1.65645626 -0.46813073  1.          1.          5.          2.
  3.          1.4286633   1.12587834 -1.01613007  1.        ]",1
"[-1.63923156 -1.62305851  0.          1.          7.          4.
  3.         -1.41515516  1.02981528 -1.01613007  1.        ]",7.0,0.49193496351272803,"[-1.63923156  1.07177298  1.          0.          1.          2.
  1.          0.00675407  0.10120564 -1.01613007  1.        ]",0
"[-1.63923156  1.07177298  1.          0.          1.          2.
  1.          0.00675407  0.10120564 -1.01613007  1.        ]",1.0,0.49193496351272803,"[-1.63923156  1.45674891  1.          0.         19.          4.
  3.          1.4286633  -0.79538297 -1.01613007  1.        ]",0
"[-1.63923156  1.45674891  1.          0.         19.          4.
  3.          1.4286633  -0.79538297 -1.01613007  1.        ]",19.0,0.49193496351272803,"[-1.63923156  0.87928502  2.          1.         10.          1.
  1.         -0.70420055 -0.5392148   0.98412598  2.        ]",0
"[-1.63923156  0.87928502  2.          1.         10.          1.
  1.         -0.70420055 -0.5392148   0.98412598  2.        ]",10.0,2.4920629880939718,"[-1.63923156 -1.04559462  0.          2.          1.          4.
  0.          0.71770868  0.9209438  -1.01613007  1.        ]",0
"[-1.63923156 -1.04559462  0.          2.          1.          4.
  0.          0.71770868  0.9209438  -1.01613007  1.        ]",1.0,0.49193496351272803,"[-1.63923156  0.10933316  1.          1.         27.          0.
  3.          0.71770868  0.28052336  0.98412598  2.        ]",0
"[-1.63923156  0.10933316  1.          1.         27.          0.
  3.          0.71770868  0.28052336  0.98412598  2.        ]",27.0,2.4920629880939718,"[-1.63923156 -0.27564276  2.          1.          6.          1.
  0.         -0.70420055  1.72787355  0.98412598  0.        ]",0
"[-1.63923156 -0.27564276  2.          1.          6.          1.
  0.         -0.70420055  1.72787355  0.98412598  0.        ]",6.0,0.492062988093972,"[-1.63923156  1.26426095  1.          1.         25.          1.
  2.          1.4286633  -0.38551389 -1.01613007  1.        ]",0
"[-1.63923156  1.26426095  1.          1.         25.          1.
  2.          1.4286633  -0.38551389 -1.01613007  1.        ]",25.0,0.49193496351272803,"[-1.63923156e+00  6.86797054e-01  0.00000000e+00  2.00000000e+00
  2.80000000e+01  3.00000000e+00  2.00000000e+00  6.75406885e-03
 -9.29871264e-01 -1.01613007e+00  1.00000000e+00]",0
"[-1.63923156e+00  6.86797054e-01  0.00000000e+00  2.00000000e+00
  2.80000000e+01  3.00000000e+00  2.00000000e+00  6.75406885e-03
 -9.29871264e-01 -1.01613007e+00  1.00000000e+00]",28.0,0.49193496351272803,"[-1.63923156  0.49430909  1.          2.         10.          2.
  1.          0.71770868 -0.02047424  0.98412598  0.        ]",0
"[-1.63923156  0.49430909  1.          2.         10.          2.
  1.          0.71770868 -0.02047424  0.98412598  0.        ]",10.0,0.492062988093972,"[-1.63923156e+00  1.09333163e-01  2.00000000e+00  0.00000000e+00
  1.80000000e+01  1.00000000e+00  2.00000000e+00  6.75406885e-03
  2.67714956e-01  9.84125976e-01  0.00000000e+00]",0
"[-1.63923156e+00  1.09333163e-01  2.00000000e+00  0.00000000e+00
  1.80000000e+01  1.00000000e+00  2.00000000e+00  6.75406885e-03
  2.67714956e-01  9.84125976e-01  0.00000000e+00]",18.0,0.492062988093972,"[-1.63923156 -1.43057055  1.          0.         45.          1.
  0.          0.71770868 -1.46142023 -1.01613007  1.        ]",0
"[-1.63923156 -1.43057055  1.          0.         45.          1.
  0.          0.71770868 -1.46142023 -1.01613007  1.        ]",45.0,0.49193496351272803,"[-1.63923156  1.64923687  2.          0.         31.          4.
  1.          1.4286633   0.24850234  0.98412598  0.        ]",0
"[-1.63923156  1.64923687  2.          0.         31.          4.
  1.          1.4286633   0.24850234  0.98412598  0.        ]",31.0,0.492062988093972,"[-1.63923156 -0.66061869  2.          0.         34.          0.
  0.         -1.41515516 -0.74414934 -1.01613007  1.        ]",0
"[-1.63923156 -0.66061869  2.          0.         34.          0.
  0.         -1.41515516 -0.74414934 -1.01613007  1.        ]",34.0,0.49193496351272803,"[-1.63923156 -0.66061869  2.          0.         34.          0.
  0.         -1.41515516 -0.74414934 -1.01613007  1.        ]",1
"[-1.62200686  0.68679705  0.          2.         41.          1.
  1.         -1.41515516  1.30519607  0.98412598  2.        ]",41.0,2.4920629880939718,"[-1.62200686  1.45674891  1.          0.         42.          0.
  0.         -1.41515516 -1.02593433  0.98412598  2.        ]",0
"[-1.62200686  1.45674891  1.          0.         42.          0.
  0.         -1.41515516 -1.02593433  0.98412598  2.        ]",42.0,2.4920629880939718,"[-1.62200686  1.64923687  1.          1.         11.          2.
  1.          1.4286633  -1.00031751 -1.01613007  1.        ]",0
"[-1.62200686  1.64923687  1.          1.         11.          2.
  1.          1.4286633  -1.00031751 -1.01613007  1.        ]",11.0,0.49193496351272803,"[-1.62200686 -0.66061869  2.          1.         41.          0.
  2.         -0.70420055 -0.60966104 -1.01613007  1.        ]",0
"[-1.62200686 -0.66061869  2.          1.         41.          0.
  2.         -0.70420055 -0.60966104 -1.01613007  1.        ]",41.0,0.49193496351272803,"[-1.62200686  0.87928502  2.          2.         43.          0.
  3.         -0.70420055 -0.27023821 -1.01613007  1.        ]",0
"[-1.62200686  0.87928502  2.          2.         43.          0.
  3.         -0.70420055 -0.27023821 -1.01613007  1.        ]",43.0,0.49193496351272803,"[-1.62200686e+00 -1.43057055e+00  1.00000000e+00  0.00000000e+00
  4.30000000e+01  2.00000000e+00  3.00000000e+00  6.75406885e-03
  6.96796649e-01 -1.01613007e+00  1.00000000e+00]",0
"[-1.62200686e+00 -1.43057055e+00  1.00000000e+00  0.00000000e+00
  4.30000000e+01  2.00000000e+00  3.00000000e+00  6.75406885e-03
  6.96796649e-01 -1.01613007e+00  1.00000000e+00]",43.0,0.49193496351272803,"[-1.62200686e+00 -8.31548003e-02  1.00000000e+00  1.00000000e+00
  4.20000000e+01  2.00000000e+00  1.00000000e+00  7.17708685e-01
  3.07593936e-02  9.84125976e-01  0.00000000e+00]",0
"[-1.62200686e+00 -8.31548003e-02  1.00000000e+00  1.00000000e+00
  4.20000000e+01  2.00000000e+00  1.00000000e+00  7.17708685e-01
  3.07593936e-02  9.84125976e-01  0.00000000e+00]",42.0,0.492062988093972,"[-1.62200686  1.26426095  0.          2.         19.          1.
  0.          1.4286633  -0.3983223  -1.01613007  1.        ]",0
"[-1.62200686  1.26426095  0.          2.         19.          1.
  0.          1.4286633  -0.3983223  -1.01613007  1.        ]",19.0,0.49193496351272803,"[-1.62200686 -1.04559462  2.          1.          8.          3.
  0.         -1.41515516 -1.02593433  0.98412598  2.        ]",0
"[-1.62200686 -1.04559462  2.          1.          8.          3.
  0.         -1.41515516 -1.02593433  0.98412598  2.        ]",8.0,2.4920629880939718,"[-1.62200686 -1.04559462  2.          1.          8.          3.
  0.         -1.41515516 -1.02593433  0.98412598  2.        ]",1
"[-1.60478216 -1.04559462  2.          0.         26.          4.
  2.         -0.70420055  0.08199303 -1.01613007  1.        ]",26.0,0.49193496351272803,"[-1.60478216 -1.62305851  2.          2.         36.          0.
  3.         -1.41515516 -0.11653731 -1.01613007  1.        ]",0
"[-1.60478216 -1.62305851  2.          2.         36.          0.
  3.         -1.41515516 -0.11653731 -1.01613007  1.        ]",36.0,0.49193496351272803,"[-1.60478216 -0.46813073  1.          1.         39.          1.
  3.         -0.70420055 -1.22446467 -1.01613007  1.        ]",0
"[-1.60478216 -0.46813073  1.          1.         39.          1.
  3.         -0.70420055 -1.22446467 -1.01613007  1.        ]",39.0,0.49193496351272803,"[-1.60478216e+00 -4.68130728e-01  1.00000000e+00  1.00000000e+00
  3.40000000e+01  3.00000000e+00  0.00000000e+00  6.75406885e-03
 -4.60910589e-02  9.84125976e-01  2.00000000e+00]",0
"[-1.60478216e+00 -4.68130728e-01  1.00000000e+00  1.00000000e+00
  3.40000000e+01  3.00000000e+00  0.00000000e+00  6.75406885e-03
 -4.60910589e-02  9.84125976e-01  2.00000000e+00]",34.0,2.4920629880939718,"[-1.60478216  1.07177298  2.          1.         22.          0.
  0.          0.71770868  0.4790537   0.98412598  0.        ]",0
"[-1.60478216  1.07177298  2.          1.         22.          0.
  0.          0.71770868  0.4790537   0.98412598  0.        ]",22.0,0.492062988093972,"[-1.60478216 -0.0831548   1.          1.         25.          1.
  1.          0.71770868 -1.55107909  0.98412598  2.        ]",0
"[-1.60478216 -0.0831548   1.          1.         25.          1.
  1.          0.71770868 -1.55107909  0.98412598  2.        ]",25.0,2.4920629880939718,"[-1.60478216  1.45674891  1.          2.         32.          0.
  1.         -0.70420055 -1.43580341 -1.01613007  1.        ]",0
"[-1.60478216  1.45674891  1.          2.         32.          0.
  1.         -0.70420055 -1.43580341 -1.01613007  1.        ]",32.0,0.49193496351272803,"[-1.60478216 -1.04559462  2.          2.         30.          4.
  3.          1.4286633   0.83768915 -1.01613007  1.        ]",0
"[-1.60478216 -1.04559462  2.          2.         30.          4.
  3.          1.4286633   0.83768915 -1.01613007  1.        ]",30.0,0.49193496351272803,"[-1.60478216 -1.04559462  2.          2.         30.          4.
  3.          1.4286633   0.83768915 -1.01613007  1.        ]",1
"[-1.58755746  1.64923687  0.          0.          9.          1.
  0.         -1.41515516 -0.44315173  0.98412598  2.        ]",9.0,2.4920629880939718,"[-1.58755746  0.10933316  0.          0.         39.          3.
  1.         -0.70420055  0.05637621 -1.01613007  1.        ]",0
"[-1.58755746  0.10933316  0.          0.         39.          3.
  1.         -0.70420055  0.05637621 -1.01613007  1.        ]",39.0,0.49193496351272803,"[-1.58755746 -0.66061869  1.          2.         48.          3.
  1.          0.71770868  0.86330596 -1.01613007  1.        ]",0
"[-1.58755746 -0.66061869  1.          2.         48.          3.
  1.          0.71770868  0.86330596 -1.01613007  1.        ]",48.0,0.49193496351272803,"[-1.58755746  1.26426095  2.          2.          5.          4.
  3.          0.00675407  0.70320085  0.98412598  2.        ]",0
"[-1.58755746  1.26426095  2.          2.          5.          4.
  3.          0.00675407  0.70320085  0.98412598  2.        ]",5.0,2.4920629880939718,"[-1.58755746  1.64923687  1.          1.         12.          0.
  1.          1.4286633  -0.88504183 -1.01613007  1.        ]",0
"[-1.58755746  1.64923687  1.          1.         12.          0.
  1.          1.4286633  -0.88504183 -1.01613007  1.        ]",12.0,0.49193496351272803,"[-1.58755746 -1.23808258  1.          2.         40.          2.
  0.          0.71770868  0.61354199 -1.01613007  1.        ]",0
"[-1.58755746 -1.23808258  1.          2.         40.          2.
  0.          0.71770868  0.61354199 -1.01613007  1.        ]",40.0,0.49193496351272803,"[-1.58755746 -0.66061869  1.          0.          3.          3.
  1.         -0.70420055 -0.14215412  0.98412598  2.        ]",0
"[-1.58755746 -0.66061869  1.          0.          3.          3.
  1.         -0.70420055 -0.14215412  0.98412598  2.        ]",3.0,2.4920629880939718,"[-1.58755746 -1.04559462  1.          2.         13.          1.
  2.         -1.41515516 -0.35989707  0.98412598  2.        ]",0
"[-1.58755746 -1.04559462  1.          2.         13.          1.
  2.         -1.41515516 -0.35989707  0.98412598  2.        ]",13.0,2.4920629880939718,"[-1.58755746 -0.85310666  0.          0.         45.          4.
  1.          0.71770868 -0.37270548  0.98412598  0.        ]",0
"[-1.58755746 -0.85310666  0.          0.         45.          4.
  1.          0.71770868 -0.37270548  0.98412598  0.        ]",45.0,0.492062988093972,"[-1.58755746  0.49430909  2.          2.          1.          2.
  0.          0.71770868 -1.16682683  0.98412598  2.        ]",0
"[-1.58755746  0.49430909  2.          2.          1.          2.
  0.          0.71770868 -1.16682683  0.98412598  2.        ]",1.0,2.4920629880939718,"[-1.58755746e+00  6.86797054e-01  0.00000000e+00  2.00000000e+00
  1.00000000e+01  1.00000000e+00  0.00000000e+00  6.75406885e-03
  1.43328015e+00 -1.01613007e+00  1.00000000e+00]",0
"[-1.58755746e+00  6.86797054e-01  0.00000000e+00  2.00000000e+00
  1.00000000e+01  1.00000000e+00  0.00000000e+00  6.75406885e-03
  1.43328015e+00 -1.01613007e+00  1.00000000e+00]",10.0,0.49193496351272803,"[-1.58755746  0.30182113  1.          2.          6.          0.
  1.         -1.41515516 -1.28850671  0.98412598  2.        ]",0
"[-1.58755746  0.30182113  1.          2.          6.          0.
  1.         -1.41515516 -1.28850671  0.98412598  2.        ]",6.0,2.4920629880939718,"[-1.58755746 -0.46813073  0.          2.         22.          0.
  1.         -0.70420055  0.3381612  -1.01613007  1.        ]",0
"[-1.58755746 -0.46813073  0.          2.         22.          0.
  1.         -0.70420055  0.3381612  -1.01613007  1.        ]",22.0,0.49193496351272803,"[-1.58755746 -0.85310666  0.          2.         32.          0.
  2.          0.71770868 -0.96829649  0.98412598  2.        ]",0
"[-1.58755746 -0.85310666  0.          2.         32.          0.
  2.          0.71770868 -0.96829649  0.98412598  2.        ]",32.0,2.4920629880939718,"[-1.58755746 -0.85310666  0.          2.         32.          0.
  2.          0.71770868 -0.96829649  0.98412598  2.        ]",1
"[-1.57033276e+00  6.86797054e-01  1.00000000e+00  1.00000000e+00
  4.90000000e+01  2.00000000e+00  2.00000000e+00  6.75406885e-03
  1.70225674e+00 -1.01613007e+00  1.00000000e+00]",49.0,0.49193496351272803,"[-1.57033276e+00 -8.53106655e-01  2.00000000e+00  2.00000000e+00
  3.00000000e+01  4.00000000e+00  0.00000000e+00  6.75406885e-03
  1.61259788e+00 -1.01613007e+00  1.00000000e+00]",0
"[-1.57033276e+00 -8.53106655e-01  2.00000000e+00  2.00000000e+00
  3.00000000e+01  4.00000000e+00  0.00000000e+00  6.75406885e-03
  1.61259788e+00 -1.01613007e+00  1.00000000e+00]",30.0,0.49193496351272803,"[-1.57033276 -0.0831548   1.          1.         35.          4.
  2.         -0.70420055  1.54215163  0.98412598  2.        ]",0
"[-1.57033276 -0.0831548   1.          1.         35.          4.
  2.         -0.70420055  1.54215163  0.98412598  2.        ]",35.0,2.4920629880939718,"[-1.57033276 -1.04559462  0.          0.         24.          1.
  0.          0.71770868  0.80566812  0.98412598  2.        ]",0
"[-1.57033276 -1.04559462  0.          0.         24.          1.
  0.          0.71770868  0.80566812  0.98412598  2.        ]",24.0,2.4920629880939718,"[-1.57033276  1.45674891  0.          1.          8.          1.
  3.         -1.41515516 -0.71212831  0.98412598  0.        ]",0
"[-1.57033276  1.45674891  0.          1.          8.          1.
  3.         -1.41515516 -0.71212831  0.98412598  0.        ]",8.0,0.492062988093972,"[-1.57033276  0.49430909  0.          0.         31.          2.
  3.         -1.41515516  1.31800447 -1.01613007  1.        ]",0
"[-1.57033276  0.49430909  0.          0.         31.          2.
  3.         -1.41515516  1.31800447 -1.01613007  1.        ]",31.0,0.49193496351272803,"[-1.57033276 -1.43057055  2.          1.          1.          4.
  1.          0.00675407 -1.15401842  0.98412598  2.        ]",0
"[-1.57033276 -1.43057055  2.          1.          1.          4.
  1.          0.00675407 -1.15401842  0.98412598  2.        ]",1.0,2.4920629880939718,"[-1.57033276e+00 -1.62305851e+00  0.00000000e+00  0.00000000e+00
  4.10000000e+01  4.00000000e+00  2.00000000e+00  6.75406885e-03
  2.16481321e-01  9.84125976e-01  0.00000000e+00]",0
"[-1.57033276e+00 -1.62305851e+00  0.00000000e+00  0.00000000e+00
  4.10000000e+01  4.00000000e+00  2.00000000e+00  6.75406885e-03
  2.16481321e-01  9.84125976e-01  0.00000000e+00]",41.0,0.492062988093972,"[-1.57033276  1.07177298  0.          1.         31.          1.
  2.         -0.70420055 -1.54467488  0.98412598  2.        ]",0
